,index,dog_whistle,definition
587,7032,cut taxes,Don't spend tax money on minorities
588,7036,global elite,Jewish people
589,7125,take our country back,Give white Americans back full social and political control over the country
590,7143,dindu,Black person
591,7152,election integrity,Voter suppression that targets people of color
592,7224,helicopter rides,Let's kill our political opponents
593,7268,three strikes,Mass incarceration of Black people
594,7360,jogger,Black person
595,7384,trans-identified male,Trans woman
596,7449,Back the Blue,Enforce white supremacy
597,7451,adult human females,"Transphobic signal that the speaker is a cis woman, with implication that trans women aren't ""real women"""
598,7454,clownfish,Trans people are ridiculous for thinking that humans can change sex
599,7476,🤡 🌎,White supremacist signal originating in 4chan troll meme that clowns are racist
600,7482,alarmism,People are overreacting about climate change being a problem
601,7498,triple parentheses,Symbol used to identify and harass Jewish people online
602,7517,has no children,Gay person
603,7522,#alllivesmatter,Black lives don't matter
604,7538,autogynephile,Trans woman
605,7567,gender abolition,Only sex assigned at birth matters
606,7569,international banks,Jewish people who control all the money
607,7576,end birthright citizenship,We should have fewer Latinos in the US
608,7604,bix nood,mock-AAVE to make fun of Black people
609,7658,never-married,Gay person
610,7661,string pullers,Jewish people who control the world
611,7666,bops,"Kill or attack, particularly political opponents"
612,7703,fatherless home,Black men are irresponsible
613,7717,religious liberties,Discrimination against LGBTQ people
614,7718,lifelong bachelor,Gay person
615,7744,gib me dat,Black people are entitled and depend on government benefits
616,7761,war on crime,"mass incarceration and disenfranchisement of racial minorities, particularly Black men"
617,7763,Trans Identified Females,Trans man
618,7773,RaHoWa,Racial holy war
619,7784,Skypes,Jewish person
620,7820,Carolus Rex,White supremacist signal referring to a former king of Sweden long ideolized by far-right groups
621,7821,co-opting intersex narratives,Trans people are liars who appropriate intersex people's struggles
622,7833,thirty pieces of silver,Jews are not to be trusted
623,7855,early life section,the person being talked about is Jewish
624,7872,protecting property rights,Right of property owners to discriminate racially
625,7876,🍒,"Transphobic signal representing Joanna Cherry, an anti-trans activist and Scottish politician"
626,7879,New York elite,Jewish people
627,7882,⚡ ⚡,White supremacist symbol representing the insignia of the Nazi SS
628,7897,welfare cheat,Black people who are lazy and take advantage of government social aid
629,7900,🏁,Transphobic signal representing idea that there are only two sexes
630,7902,burned coal,White woman having sex with a Black man
631,7907,autoandrophilia,Trans men are just women who have a fetish for being viewed as men
632,7911,God-given liberties,Discrimination against LGBTQ people
633,7923,Zios,Jewish people
634,7929,AFAB trans woman,Transphobic joke that a cis woman can claim to identify as a trans woman
635,8183,👌,White supremacist signal
636,8243,butterfly,Gay man
637,8338,butterflies,Gay man
638,8360,car salesman,Liberal
639,8394,controlled media,Jewish people control the media
640,8429,boogaloo,Race war
641,8472,inner-city,African American neighborhoods
642,8499,broken homes,Black families are dysfunctional
643,8506,109,Antisemitic signal that is a reference to number of countries Jews have been expelled from
644,8550,safeguarding,"Young people should not have access to
gender-affirming care"
645,8610,COINing,Trans people are liars who appropriate intersex people's struggles
646,8624,pulling strings,Jewish people control the world
647,8638,troons,Trans person
648,8701,super predator,Black men are threatening
649,8722,burning coal,White woman having sex with a Black man
650,8731,Israel Lobby,Jews control US politics
651,8733,Rothschild family,Jewish people control all the money
652,8776,fatherless children,Black men are irresponsible
653,8812,nibba,N-word
654,8870,shadowy cabal,Powerful group of Jewish people who control the world
655,8945,Honkler,White supremacist signal originating in 4chan troll meme that clowns are racist
656,8953,Janet Yellen,Jewish people control all the money
657,9001,male-friendly,"Rape jokes and threats about domestic violence, other content that features abuse of women"
658,9089,open borders for Israel,Jews are pushing for immigration to ruin other countries except for Israel
659,9109,blueish,Jewish
660,9153,Charles XII,White supremacist signal referring to a former king of Sweden long ideolized by far-right groups
661,9178,Pepe the Frog,White supremacist signal
662,9214,overpopulating the planet,There are too many non-white people in the world
663,9240,color-blind society,Opposition to race-based affirmative action
664,9247,windmill of friendship,a swastika (aka I am a white supremacist)
665,9255,Serbia Strong,Kill Muslims
666,9754,biological woman,Cisgender woman
667,9811,groomer,LGBTQ people are predators
668,9869,adult human female,"Transphobic signal that the speaker is a cis woman, with implication that trans women aren't ""real women"""
669,10027,abolish gender,Only sex assigned at birth matters
670,10054,we wuz kangs,mocks claims of black nationalism by using mock AAVE
671,10089,fellow whites,Jewish people are masquerading as white people in order to tell them what to do
672,10118,Hollywood liberals,Jewish people who control the media
673,10277,Schlomo,Jewish person
674,10340,nibbas,N-word
675,10343,lack of fathers,Black men are irresponsible
676,10364,bluish,Jewish
677,10366,tiny minority of men,Trans women
678,10472,triple brackets,Symbol used to identify and harass Jewish people online
679,10558,Shariah law,Muslims are violent and present a threat to Americans
680,10559,autogynophile,Trans woman
681,10664,Bernie Sanders,Jewish people control world politics
682,11050,thin blue line,Protect white people from non-white people
683,11134,biological male,Cisgender man
684,11169,implicit bias,Racism
685,11213,biological males,Cisgender man
686,11489,identitarianism,Nazism
687,11630,bopped,"Kill or attack, particularly political opponents"
688,11641,deadbeat dad,Black men are irresponsible
689,11661,ghettoes,Low-income Black neighborhood
690,11728,intact man,Trans people who haven't had bottom surgery aren't real trans people
691,11801,protect women and girls,Trans women are predatory men
692,11860,1290,Antisemitic signal that is a reference to the year Jews were expelled from England
693,11886,socialised as female,"Trans men will always be women, and trans women will always be men"
694,12397,Kekistan,"White supremacist signal meaning ""lol"" that became an alt-right 4chan meme"
695,12758,New York values,Jewishness
696,12799,Shlomo,Jewish person
697,12915,Khazars,Jewish people
698,13110,Islamic extremists,Muslim people as a whole are a threat
699,13132,radical Islamic terrorists,Muslim people as a whole are a threat
700,13156,radical Islamists,Muslim people as a whole are a threat
701,13296,radical Islamist,Muslim people as a whole are a threat
702,13369,international bankers,Jewish people who control all the money
703,13378,disloyalty,Jews are disloyal to their country
704,13864,food stamps,Government assistance for minorities
705,15878,hard-working Americans,White Americans
